Id;family;genus;species;taxonomic.rank;taxon;LME;FAO;habitat;reference.habitat;feeding.mode;reference.feeding.mode;tl;level.tl;reference.tl;body.shape;fin.shape;AR;level.AR;reference.AR;offspring.size;level.offspring.size;reference.offspring.size;spawning.type;reference.spawning.type;age.maturity;level.age.maturity;reference.age.maturity;fecundity;level.fecundity;reference.fecundity;length.infinity;growth.coefficient;level.growth;reference.growth;length.max;level.length.max;reference.length.max;age.max;level.age.max;reference.age.max
37;Agonidae;Agonopsis;vulsa;S;Agonopsis vulsa;3;77;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-LME;FroesePauly2018;20;spe;FroesePauly2018;7;fam;FroesePauly2018
38;Agonidae;Agonopsis;vulsa;S;Agonopsis vulsa;65;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-FAO;FroesePauly2018;20;spe;FroesePauly2018;7;fam;FroesePauly2018
39;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;20;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-FAO;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
40;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;21;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-FAO;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
41;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;22;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-LME;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
42;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;22;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-LME;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
43;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;23;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-FAO;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
44;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;24;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-FAO;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
45;Agonidae;Agonus;cataphractus;S;Agonus cataphractus;59;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.43;spe;FroesePauly2018;elongated;rounded;0.83;spe;FroesePauly2018;2;spe;FroesePauly2018;non-guarder;FroesePauly2018;3;spe;Heessen2016;2550;spe-ocean;FroesePauly2018;15;0.47;spe-FAO;FroesePauly2018;21;spe;FroesePauly2018;1;spe;Heessen2015
46;Agonidae;Anoplagonus;inermis;S;Anoplagonus inermis;1;61;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;0.85;fam;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.33;fam-ocean;FroesePauly2018;15;spe;FroesePauly2018;7;fam;FroesePauly2018
47;Agonidae;Anoplagonus;inermis;S;Anoplagonus inermis;1;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;0.85;fam;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-FAO;FroesePauly2018;15;spe;FroesePauly2018;7;fam;FroesePauly2018
48;Agonidae;Anoplagonus;inermis;S;Anoplagonus inermis;2;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;0.85;fam;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-FAO;FroesePauly2018;15;spe;FroesePauly2018;7;fam-ocean;FroesePauly2018
49;Agonidae;Anoplagonus;inermis;S;Anoplagonus inermis;3;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;0.85;fam;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-LME;FroesePauly2018;15;spe;FroesePauly2018;7;fam;FroesePauly2018
50;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;1;61;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-ocean;FroesePauly2018;7;spe-ocean;FroesePauly2018
51;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;1;67;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe-FAO;FroesePauly2018
52;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;2;67;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-LME;FroesePauly2018;7;spe-FAO;FroesePauly2018
53;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;7;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe-FAO;FroesePauly2018
54;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;8;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-LME;FroesePauly2018;7;spe-FAO;FroesePauly2018
55;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;18;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe-FAO;FroesePauly2018
56;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;19;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe-FAO;FroesePauly2018
57;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;54;61;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-ocean;FroesePauly2018;7;spe-ocean;FroesePauly2018
58;Agonidae;Aspidophoroides;monopterygius;S;Aspidophoroides monopterygius;65;61;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3;spe;FroesePauly2018;elongated;rounded;0.63;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;inferred from family;4.7;spe-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.23;spe-ocean;FroesePauly2018;20;spe-LME;FroesePauly2018;7;spe-ocean;FroesePauly2018
